category,value,description
false_person_pattern,^\d+\s+[A-Z][a-z]+(\s+[A-Z][a-z]+)?$,Street numbers with road names
false_person_pattern,^\d+$,Just numbers
false_person_pattern,^(room|flat|suite|unit|shop|office|室|單位|单位|舖|铺|店|辦事處|办事处)\s*\d+,Room or floor identifiers
false_person_pattern,^\d+\s*(f|floor|樓|楼|層|层),Floor numbers
false_datetime_pattern,^\+\d{1,4}\s*\d{3,4}$,Phone number prefixes
false_datetime_pattern,^\(\d{2,4}\)\s*\d{3,4}$,Phone number area codes
false_datetime_pattern,^\d{3,4}\s\d{4}$,Phone number fragments
false_location_pattern,^\d+\s+.*(?:avenue|road|street|drive|lane|path|way|道|路|街|大道),Full address-like strings
person_deny_list,tat,
person_deny_list,chee,
person_deny_list,avenue,
person_deny_list,road,
person_deny_list,street,
person_deny_list,building,
person_deny_list,tower,
person_deny_list,room,
person_deny_list,flat,
person_deny_list,floor,
person_deny_list,unit,
person_deny_list,district,
person_deny_list,area,
person_deny_list,hong,
person_deny_list,kong,
person_deny_list,kowloon,
person_deny_list,nt,
person_deny_list,new,
person_deny_list,territories,
person_deny_list,central,
person_deny_list,wan,
person_deny_list,chai,
person_deny_list,sha,
person_deny_list,tin,
person_deny_list,tuen,
person_deny_list,mun,
person_deny_list,yuen,
person_deny_list,long,
person_deny_list,fanling,
datetime_deny_list,+852,
datetime_deny_list,+86,
datetime_deny_list,+1,
datetime_deny_list,+44,
datetime_deny_list,+61,
datetime_deny_list,+65,
name_context_keywords,博士,
name_context_keywords,教授,
name_context_keywords,先生,
name_context_keywords,女士,
name_context_keywords,老師,
name_context_keywords,醫生,
name_context_keywords,工程師,
name_context_keywords,發明人,
name_context_keywords,研究員,
name_context_keywords,校長,
name_context_keywords,本人,
name_context_keywords,我叫,
name_context_keywords,我是,
name_context_keywords,姓名,
name_context_keywords,名字,
name_context_keywords,姓,
name_context_keywords,名為,
name_context_keywords,名为,
name_context_keywords,Dr.,
name_context_keywords,Prof.,
name_context_keywords,Mr.,
name_context_keywords,Ms.,
name_context_keywords,Mrs.,
